Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Mount Jefferson, Lee, Maine, 775, 343, 432, 160, 13, 2, 75, $25, September 29  2019[200]
New Hermon Mountain, Bangor, Maine, 450, 150, 300, 70, 20, 3, 90, $35, September 29  2019[201]
Camden Snow Bowl, Camden, Maine, 1 080, 235, 845, 100, 17, 3, 50, $33, September 29  2019[202]
Powderhouse Hill, Portland, Maine, 240, 120, 120, , 3, 1, , $5, September 29  2019[203]
Lost Valley, Lewiston, Maine, 480, 240, 240, 45, 27, 4, 99, $60, September 29  2019
Shawnee Peak, Bridgton, Maine, , , 1 300, 245, 44, 6, 110, $75, September 29  2019[204]
Sunday River, Newry, Maine, 3 140, 800, 2 340, 870, 153, 18, 155, $109, September 29  2019[205]
Ski Mount Abraham, Bethel, Maine, 1 990, 940, 1 050, 650, 44, 5, 115, $49, September 29  2019[206]
Black Mountain of Maine, Lewiston, Maine, 2 380, 1 000, 1 380, 300, 46, 2, 120, $45, September 29  2019[207]
Titcomb Mountain, Augusta, Maine, 750, 400, 350, 45, 16, 3, 85, $17, September 29  2019[208]
Spruce Mountain Ski Slope, Jay, Maine, 310, 10, 300, , 12, 3, , $25, September 29  2019[209]
Eaton Mountain, Waterville, Maine, 840, 220, 620, 130, 18, 2, 72, $15, September 29  2019[210]
Baker Mountain, Bingham, Maine, , , 460, , 5, 1, , $10, September 29  2019
Blandford Ski Area, Blandford, Massachusetts, 1 490, 1 025, 465, 55, 29, 5, 70, $45, September 29  2019[211]
