XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0185, Dialback Key Generation and Validation, {{Yes|Approved}}, {{unk}}, {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0189, Public Key Publishing, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0190, Best Practice for Closing Idle Streams, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{No}}, {{unk}}, {{unk}}, {{No}}[20], {{Yes}}[6]
0191, Blocking Command, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[39], {{Yes}}[6]
0192, Proposed Stream Feature Improvements, {{incorrect|Obsolete}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[17], {{No}}[18], {{No}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
0193, Proposed Resource Binding Improvements, {{incorrect|Obsolete}}, Contrib.[8][40], Contrib.[8], {{unk}}, {{Yes}}[17], {{No}}[18], {{No}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
0194, User Chatting, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{unk}}
0195, User Browsing, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{unk}}
0198, Stream Management, {{nightly|Draft}}, {{Yes}}[8][41][42], {{No}}[8], {{No}}, {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Partial}}[43], {{Yes}}[20], {{Yes}}[6]
0199, XMPP Ping, {{Yes|Final}}, {{Yes}}[8][44], {{Yes}}[8], {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0202, Entity Time, {{Yes|Final}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{No}}
0203, Delayed Delivery, {{Yes|Final}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0205, Best Practices to Discourage Denial of Service Attacks, {{Yes|Approved}}, {{Partial}}[8], {{Yes}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{No}}, {{Partial}}, {{unk}}, {{No}}[20], {{Yes}}[6]
0206, XMPP over BOSH, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0209, Metacontacts, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0212, XMPP Basic Server 2008, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{unk}}, {{Yes}}[19], {{Yes}}, {{unk}}, {{Yes}}, {{Yes}}[6]
0214, File Repository and Sharing, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{unk}}
0215, External Service Discovery, {{okay|Deferred}}, {{No}}[8][45], {{No}}[8], {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0216, XMPP Intermediate IM Server 2008, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{unk}}, {{No}}, {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0220, Server Dialback, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{unk}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0221, Data Forms Media Element, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{unk}}, {{unk}}, {{Yes}}[20], {{No}}
0223, Persistent Storage of Private Data via PubSub, {{Yes|Approved}}, {{Yes}}[8], {{Yes}}, {{unk}}, {{No}}[17], {{Yes}}, {{No}}, {{No}}, {{unk}}, {{Yes}}, {{Yes}}[6]
0225, Component Connections, {{okay|Deferred}}, {{No}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{Yes}}[6]
0227, Portable Import/Export Format for XMPP-IM Servers (proposed), {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{Yes}}[19], {{No}}, {{unk}}, {{Yes}}[20], {{No}}
0230, Service Discovery Notifications, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0232, Software Information, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0233, Use of Domain-Based Service Names in XMPP SASL Negotiation, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0235, OAuth Over XMPP, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0236, Abuse Reporting, Retracted, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0237, Roster Versioning, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
